"Language"	"Count"
"User_en-N"	27922
"User_de-N"	3936
"User_es-N"	2536
"User_fr-N"	2388
"User_ru-N"	1986
"User_nl-N"	1305
"User_zh-N"	1240
"User_it-N"	1215
"User_pt-N"	1161
"User_pl-N"	1153
"User_ja-N"	1000
"User_sv-N"	909
"User_fi-N"	603
"User_tr-N"	511
"User_no-N"	489
"User_yue-N"	462
"User_ar-N"	434
"User_hu-N"	433
"User_da-N"	428
"User_ko-N"	416
"User_el-N"	393
"User_cs-N"	375
"User_he-N"	366
"User_ro-N"	353
"User_uk-N"	304
"User_hi-N"	292
"User_fa-N"	282
"User_tl-N"	281
"User_bg-N"	258
"User_ca-N"	248
"User_id-N"	246
"User_ta-N"	216
"User_hr-N"	206
"User_ml-N"	197
"User_bn-N"	185
"User_sr-N"	183
"User_ur-N"	154
"User_gsw-N"	140
"User_th-N"	136
"User_lt-N"	133
"User_sk-N"	119
"User_sl-N"	108
"User_ms-N"	106
"User_et-N"	103
"User_nn-N"	103
"User_af-N"	102
"User_sh-N"	90
"User_hy-N"	88
"User_kn-N"	83
"User_lv-N"	83
"User_fil-N"	82
"User_is-N"	81
"User_cmn-N"	81
"User_te-N"	75
"User_vi-N"	75
"User_az-N"	73
"User_si-N"	72
"User_gl-N"	67
"User_mk-N"	64
"User_bs-N"	64
"User_nan-N"	63
"User_pa-N"	63
"User_sq-N"	62
"User_be-N"	61
"User_nb-N"	59
"User_Hrkt-N"	56
"User_gu-N"	54
"User_vec-N"	52
"User_ka-N"	45
"User_sco-N"	43
"User_arz-N"	41
"User_ga-N"	40
"User_bar-N"	34
"User_mt-N"	32
"User_knn-N"	32
"User_la-N"	32
"User_at-N"	31
"User_Cyrl-N"	31
"User_wuu-N"	30
"User_ceb-N"	30
"User_eu-N"	29
"User_li-N"	29
"User_es-mx-N"	29
"User_jv-N"	28
"User_yi-N"	27
"User_kk-N"	26
"User_ne-N"	25
"User_lb-N"	25
"User_sw-N"	24
"User_scn-N"	21
"User_arc-N"	21
"User_swg-N"	20
"User_nap-N"	20
"User_ku-N"	19
"User_aln-N"	18
"User_fy-N"	17
"User_vls-N"	17
"User_lmo-N"	17
"User_or-N"	17
"User_Deva-N"	17
"User_elder-N"	16
"User_su-N"	14
"User_mn-N"	14
"User_tt-N"	13
"User_ps-N"	13
"User_as-N"	13
"User_fr-qc-N"	13
"User_nds-N"	13
"User_so-N"	12
"User_fo-N"	12
"User_hak-N"	12
"User_ilo-N"	12
"User_ast-N"	12
"User_sc-N"	11
"User_war-N"	10
"User_pms-N"	10
"User_hwc-N"	10
"User_szl-N"	10
"User_sgn-N"	9
"User_grc-N"	9
"User_mzn-N"	8
"User_Hebr-N"	8
"User_new-N"	8
"User_km-N"	8
"User_ksh-N"	8
"User_gd-N"	8
"User_ckb-N"	7
"User_am-N"	7
"User_tg-N"	7
"User_eo-N"	7
"User_Grek-N"	7
"User_mg-N"	6
"User_hif-N"	6
"User_nah-N"	6
"User_Hani-N"	6
"User_bcl-N"	6
"User_br-N"	6
"User_ce-N"	6
"User_acm-N"	6
"User_uz-N"	6
"User_sgs-N"	6
"User_pag-N"	5
"User_av-N"	5
"User_sah-N"	5
"User_ks-N"	5
"User_mdf-N"	5
"User_pam-N"	5
"User_glk-N"	5
"User_yo-N"	5
"User_ayl-N"	5
"User_rue-N"	5
"User_ch-N"	5
"User_kok-N"	5
"User_Arab-N"	5
"User_ky-N"	5
"User_tcy-N"	5
"User_tk-N"	5
"User_ocaml-N"	5
"User_cv-N"	4
"User_fur-N"	4
"User_ota-N"	4
"User_pfl-N"	4
"User_haz-N"	4
